"Step","charmed-durian-30 - Train loss","charmed-durian-30 - Train loss__MIN","charmed-durian-30 - Train loss__MAX"
"0","0.9020046018064022","0.9020046018064022","0.9020046018064022"
"2","0.20338428169488906","0.20338428169488906","0.20338428169488906"
"4","0.18606934323906898","0.18606934323906898","0.18606934323906898"
"6","0.17946677133440972","0.17946677133440972","0.17946677133440972"
"8","0.1798075444996357","0.1798075444996357","0.1798075444996357"
"10","0.16781307607889176","0.16781307607889176","0.16781307607889176"
"12","0.15471201576292515","0.15471201576292515","0.15471201576292515"
"14","0.14992474094033242","0.14992474094033242","0.14992474094033242"
"16","0.14231527224183083","0.14231527224183083","0.14231527224183083"
"18","0.14244398549199105","0.14244398549199105","0.14244398549199105"
"20","0.14800279773771763","0.14800279773771763","0.14800279773771763"
"22","0.13740148078650236","0.13740148078650236","0.13740148078650236"
"24","0.13367737978696823","0.13367737978696823","0.13367737978696823"
"26","0.15436430126428605","0.15436430126428605","0.15436430126428605"
"28","0.14365796223282815","0.14365796223282815","0.14365796223282815"
"30","0.1361632738262415","0.1361632738262415","0.1361632738262415"
"32","0.12920824401080608","0.12920824401080608","0.12920824401080608"
"34","0.13452304527163506","0.13452304527163506","0.13452304527163506"
"36","0.1332792229950428","0.1332792229950428","0.1332792229950428"
"38","0.1312213283032179","0.1312213283032179","0.1312213283032179"
"40","0.11802826449275017","0.11802826449275017","0.11802826449275017"
"42","0.11812241673469544","0.11812241673469544","0.11812241673469544"
"44","0.11391647420823574","0.11391647420823574","0.11391647420823574"
"46","0.11340813040733337","0.11340813040733337","0.11340813040733337"
"48","0.11604014374315738","0.11604014374315738","0.11604014374315738"
"50","0.11512734070420265","0.11512734070420265","0.11512734070420265"
"52","0.11936262510716915","0.11936262510716915","0.11936262510716915"
"54","0.11406079679727554","0.11406079679727554","0.11406079679727554"
"56","0.1084771852940321","0.1084771852940321","0.1084771852940321"
"58","0.10360855162143708","0.10360855162143708","0.10360855162143708"
"60","0.10477928202599288","0.10477928202599288","0.10477928202599288"
"62","0.09857286624610424","0.09857286624610424","0.09857286624610424"
"64","0.09723137114197015","0.09723137114197015","0.09723137114197015"
"66","0.09456157237291336","0.09456157237291336","0.09456157237291336"
"68","0.08962807888165117","0.08962807888165117","0.08962807888165117"
"70","0.09358570128679275","0.09358570128679275","0.09358570128679275"
"72","0.09905884377658367","0.09905884377658367","0.09905884377658367"
"74","0.10452894438058138","0.10452894438058138","0.10452894438058138"
"76","0.09952078722417354","0.09952078722417354","0.09952078722417354"
"78","0.096651079505682","0.096651079505682","0.096651079505682"
"80","0.09770739525556564","0.09770739525556564","0.09770739525556564"
"82","0.10731257274746894","0.10731257274746894","0.10731257274746894"
"84","0.09461887143552303","0.09461887143552303","0.09461887143552303"
"86","0.1106534756720066","0.1106534756720066","0.1106534756720066"
"88","0.09058618657290936","0.09058618657290936","0.09058618657290936"
"90","0.0932432496920228","0.0932432496920228","0.0932432496920228"
"92","0.09397885091602802","0.09397885091602802","0.09397885091602802"
"94","0.08555078953504562","0.08555078953504562","0.08555078953504562"
"96","0.08208362851291895","0.08208362851291895","0.08208362851291895"
"98","0.0800465052947402","0.0800465052947402","0.0800465052947402"
"100","0.0785473681986332","0.0785473681986332","0.0785473681986332"
"102","0.07835175730288028","0.07835175730288028","0.07835175730288028"
"104","0.0759371256455779","0.0759371256455779","0.0759371256455779"
"106","0.07587283700704575","0.07587283700704575","0.07587283700704575"
"108","0.07927142791450023","0.07927142791450023","0.07927142791450023"
"110","0.073724359087646","0.073724359087646","0.073724359087646"
"112","0.07335189413279294","0.07335189413279294","0.07335189413279294"
"114","0.07240823470056057","0.07240823470056057","0.07240823470056057"
"116","0.07087660934776067","0.07087660934776067","0.07087660934776067"
"118","0.08187404256314039","0.08187404256314039","0.08187404256314039"
"120","0.08243703655898571","0.08243703655898571","0.08243703655898571"
"122","0.07833150997757912","0.07833150997757912","0.07833150997757912"
"124","0.07787578832358122","0.07787578832358122","0.07787578832358122"
"126","0.07510688249021769","0.07510688249021769","0.07510688249021769"
"128","0.07508508507162333","0.07508508507162333","0.07508508507162333"
"130","0.07119952812790871","0.07119952812790871","0.07119952812790871"
"132","0.06731482837349176","0.06731482837349176","0.06731482837349176"
"134","0.06621089950203896","0.06621089950203896","0.06621089950203896"
"136","0.06484345961362123","0.06484345961362123","0.06484345961362123"
"138","0.06362264398485422","0.06362264398485422","0.06362264398485422"
"140","0.06273606549948454","0.06273606549948454","0.06273606549948454"
"142","0.06089961156249046","0.06089961156249046","0.06089961156249046"
"144","0.06288614701479674","0.06288614701479674","0.06288614701479674"
"146","0.06117870854213834","0.06117870854213834","0.06117870854213834"
"148","0.06155218183994293","0.06155218183994293","0.06155218183994293"
"150","0.06106839310377836","0.06106839310377836","0.06106839310377836"
"152","0.07314360477030277","0.07314360477030277","0.07314360477030277"
"154","0.10481768175959587","0.10481768175959587","0.10481768175959587"
"156","0.10399963613599539","0.10399963613599539","0.10399963613599539"
"158","0.09109100755304098","0.09109100755304098","0.09109100755304098"
"160","0.08745753355324268","0.08745753355324268","0.08745753355324268"
"162","0.08298300877213478","0.08298300877213478","0.08298300877213478"
"164","0.07845095377415419","0.07845095377415419","0.07845095377415419"
